ID,Tipo,SKU,Nombre,"¿En inventario?",Inventario
20514,simple,8520003##,"Linterna Táctica Baliza Usb Rompe Cristales Imantada",1,65
20519,simple,8520005##,"Linterna Táctica Led Recargable Solar Usb Brújula Zoom",1,139
20524,simple,8520014##,"Linterna Usb Recargable De Plástico Con Clip",1,200
20530,simple,8520016##,"Linterna Led Cob T6-26 Recargable Usb 200 Metros",1,3
20536,simple,8520025##,"Mini Linterna Táctica Usb Recargable Doble Led Zoom Potente",1,344
20546,simple,8520102##,"Navaja Táctica Mastiff Da162",1,22
20551,simple,8520118##,"Linterna Táctica Led Recargable Usb Zoom Con Luz Lateral",1,229
20559,simple,8520733##,"Linterna Táctica Recargable Solar Usb Zoom Baliza Imantada",1,25
20570,simple,8520813##,"Navaja Columbia Automática Escorpión K-20",0,1
20575,simple,8708020##,"Pouch Botiquín táctico sistema molle",1,5
20582,simple,8708249##,"Morral táctico cruzado con porta botella",1,19
20590,variable,8205881##,"Borceguí Táctico Caña Corta Con Cierre Beige",1,
20591,variation,8205881##35,"Borceguí Táctico Caña Corta Con Cierre Beige - 35",0,1
20592,variation,8205881##36,"Borceguí Táctico Caña Corta Con Cierre Beige - 36",1,4
20593,variation,8205881##37,"Borceguí Táctico Caña Corta Con Cierre Beige - 37",0,1
20594,variation,8205881##38,"Borceguí Táctico Caña Corta Con Cierre Beige - 38",0,0
20595,variation,8205881##39,"Borceguí Táctico Caña Corta Con Cierre Beige - 39",0,0
20596,variation,8205881##40,"Borceguí Táctico Caña Corta Con Cierre Beige - 40",0,0
20597,variation,8205881##41,"Borceguí Táctico Caña Corta Con Cierre Beige - 41",1,3
20598,variation,8205881##42,"Borceguí Táctico Caña Corta Con Cierre Beige - 42",0,0
20599,variation,8205881##43,"Borceguí Táctico Caña Corta Con Cierre Beige - 43",0,0
20600,variation,8205881##44,"Borceguí Táctico Caña Corta Con Cierre Beige - 44",0,2
20601,variation,8205881##45,"Borceguí Táctico Caña Corta Con Cierre Beige - 45",0,1
20602,variation,8205881##46,"Borceguí Táctico Caña Corta Con Cierre Beige - 46",0,1
20603,simple,8522030##,"Rabiza Táctica Reforzada Con Hebilla",1,211
20608,simple,8525576##,"Silbato Profesional Negro Con Colgante",1,236
20612,simple,8612418##,"Tarjeta Táctica 14 Usos Supervivencia Metal",1,155
20617,simple,8708045##,"Morral táctico Rerda",1,9
20627,variable,5101109##,"Campera Montreal Negra Le Port Golf Country",1,
20628,variation,5101109##XXS,"Campera Montreal Negra Le Port Golf Country - XXS",0,0
20629,variation,5101109##XS,"Campera Montreal Negra Le Port Golf Country - XS",0,0
20630,variation,5101109##S,"Campera Montreal Negra Le Port Golf Country - S",0,0
20631,variation,5101109##M,"Campera Montreal Negra Le Port Golf Country - M",0,0
20632,variation,5101109##L,"Campera Montreal Negra Le Port Golf Country - L",1,3
20633,variation,5101109##XL,"Campera Montreal Negra Le Port Golf Country - XL",0,2
20634,variation,5101109##XXL,"Campera Montreal Negra Le Port Golf Country - XXL",0,1
20635,variable,5101104##,"Campera Berna Le Port Golf Country Negra",0,
20636,variation,5101104##XXS,"Campera Berna Le Port Golf Country Negra - XXS",0,0
